SunTrust Banks (STI),"6,969,612"
,
Apple (AAPL)
,
Advanced Micro Devices, Inc. (AMD)
,
Amazon.com, Inc. (AMZN)
,
Berkshire Hathaway Inc. (BRK.B)
,
Gilead Sciences, Inc. (GILD)
,
Microsoft Corporation (MSFT)
,
Virgin Galactic Holdings, Inc. (SPCE)
,
American Airlines Group Inc. (AAL)
,
SPDR S&P 500 ETF Trust  S&P 500 Index (SPY)
,
Beyond Meat Inc. (BYND)
,
J.M. Smucker Co. (SJM)
,
Micron Technology Inc. MU
,
Netflix Inc. (NFLX)
,
Lockheed Martin Corp. (LMT)
,
Torm PLC (TRMD)	376.6K	23.42	15.82	208.16
,
Peck Co. Holdings Inc. (PECK)	3.2M	3.93	1.25	46.77
,
Vaxart Inc. (VXRT)	49.0M	3.29	0.92	38.99
,
TriState Capital Holdings Inc. (TSC)	1.3M	13.42	3.03	29.16
,
NanoViricides Inc. (NNVC)	946.3K	7.30	1.56	27.18
,
My Size Inc. (MYSZ)	1.4M	3.02	0.64	26.99
,
SilverBow Resources Inc. (SBOW)	376.3K	3.22	0.56	21.05
,
Golden Bull Ltd. (DNJR)	400.7K	2.93	0.48	19.59
,
Applied DNA Sciences Inc. (APDN)	3.5M	6.24	0.81	14.95
,
PAVmed Inc. (PAVM)	3.8M	2.60	0.33	14.41
,
Verona Pharma PLC ADR (VRNA)	121.4K	5.16	0.64	14.08
,
Uniti Group Inc. (UNIT)	3.2M	5.60	0.64	12.80
,
CounterPath Corp. (CPAH)	423.2K	2.28	0.25	12.32
,
New Residential Investment Corp. (NRZ)	14.5M	5.61	0.59	11.80
,
Anterix Inc. (ATEX)	83.4K	54.20	5.21	10.62
,
Odyssey Marine Exploration Inc. (OMEX)	81.4K	4.20	0.40	10.53
,
Theratechnologies Inc. (THTX)	102.2K	2.62	0.24	10.08
,
China Finance Online Co. Ltd. ADR (JRJC)	77.6K	5.86	0.53	9.86
,
Mr. Cooper Group Inc. (COOP)	2.0M	8.51	0.76	9.81
,
Goodrich Petroleum Corp. (GDP)	71.0K	7.61	0.68	9.77
,
Navigator Holdings Ltd. (NVGS)	189.7K	6.21	0.52	9.14
,
Carter Bank & Trust (CARE)	81.5K	8.27	0.69	9.10
,
Kamada Ltd. (KMDA)	84.9K	7.49	0.61	8.87
,
aTyr Pharma Inc. (LIFE)	2.5M	3.35	0.26	8.42
,
Impinj Inc. (PI)	418.6K	19.26	1.48	8.32
,
Beyond Meat Inc. (BYND)	11.5M	85.70	6.58	8.32
,
AudioEye Inc. (AEYE)	79.4K	7.20	0.55	8.29
,
Repro Med Systems Inc. (KRMD)	532.7K	12.33	0.93	8.16
,
Nordic American Tankers Ltd. (NAT)	20.5M	5.18	0.39	8.02
,
Scholar Rock Holding Corp. (SRRK)	80.4K	18.70	1.38	7.97
,
Kiniksa Pharmaceuticals Ltd. (KNSA)	233.5K	20.49	1.49	7.84
,
Navios Maritime Acquisition Corp. (NNA)	605.1K	5.79	0.42	7.82
,
VOXX International Corp. Cl A (VOXX)	127.0K	4.72	0.34	7.76
,
Chesapeake Energy Corp. (CHK)	2.5M	15.46	1.08	7.55
,
Endurance International Group Holdings Inc. (EIGI)	1.1M	2.71	0.19	7.54
,
Spero Therapeutics Inc. (SPRO)	112.7K	8.51	0.59	7.49
,
Teekay Corp. (TK)	9.5M	4.22	0.29	7.38
,
Ampco-Pittsburgh Corp. (AP)	100.9K	3.40	0.22	7.26
,
NuSTAR Energy L.P. (NS)	784.2K	9.93	0.67	7.24
,
Crescent Capital BDC Inc. (CCAP)	76.7K	10.68	0.72	7.23
,
Core Molding Technologies Inc. (CMT)	359.5K	2.57	0.17	7.21
,
ManpowerGroup (MAN)	443.7K	66.38	4.46	7.20
,
Two Harbors Investment Corp. (TWO)	6.7M	4.42	0.29	7.02
,
Comstock Resources Inc. (CRK)	822.1K	7.56	0.52	6.97
,
Turtle Beach Corp. (HEAR)	372.7K	7.70	0.49	6.85
,
CEL-SCI Corp. (CVM)	363.3K	11.13	0.71	6.81
,
Ardmore Shipping Corp. (ASC)	616.1K	5.97	0.38	6.80
,
Celldex Therapeutics Inc. (CLDX)	443.9K	2.22	0.14	6.73
,
Gaia Inc. Cl A (GAIA)	108.8K	9.47	0.57	6.40
,
Liquid Media Group Ltd. (YVR)	164.7K	3.03	0.18	6.32
,
SunOpta Inc. (STKL)	398.7K	2.53	0.15	6.30
,
Ruhnn Holding Ltd. ADR (RUHN)	199.7K	3.69	0.21	6.03
,
Flir Systems Inc. (FLIR)	6.2M	41.24	2.27	5.83
,
Cooper-Standard Holdings Inc. (CPS)	100.5K	10.74	0.58	5.76
,
Carvana Co. Cl A (CVNA)	3.0M	84.76	4.46	5.55
,
Exelixis Inc. (EXEL)	4.7M	24.88	1.30	5.54
,
WhiteHorse Finance Inc. (WHF)	133.7K	8.02	0.41	5.39
,
New Oriental Education & Technology Group Inc. ADR (EDU)	1.9M	115.18	5.81	5.31
,
Pluristem Therapeutics Inc. (PSTI)	2.0M	9.15	0.46	5.29
,
Arcturus Therapeutics Holdings Inc. (ARCT)	355.9K	19.01	0.95	5.26
,
Surgery Partners Inc. (SGRY)	1.3M	9.81	0.49	5.26
,
Atlas Air Worldwide Holdings (AAWW)	313.3K	25.92	1.29	5.24
,
Viela Bio Inc. (VIE)	128.3K	41.22	2.05	5.23
,
Nautilus Inc. (NLS)	756.4K	4.88	0.25	5.17
,
Inovio Pharmaceuticals Inc. (INO)	36.0M	9.51	0.46	5.08
,
Cytosorbents Corp. (CTSO)	785.9K	8.39	0.39	4.88
,
InfuSystems Holdings Inc. (INFU)	108.4K	12.53	0.58	4.83
,
DHT Holdings Inc. (DHT)	7.8M	8.54	0.39	4.79
,
Adient PLC (ADNT)	1.3M	11.26	0.51	4.70
,
Ooma Inc. (OOMA)	60.1K	12.16	0.59	4.65
,
Community Healthcare Trust Inc. (CHCT)	93.2K	33.85	1.50	4.65
,
REV Group Inc. (REVG)	220.9K	4.10	0.18	4.59
,
Crinetics Pharmaceuticals Inc. (CRNX)	101.6K	16.70	0.73	4.57
,
Landec Corp. (LNDC)	233.8K	10.10	0.43	4.50
,
Sunoco L.P. (SUN)	592.8K	21.07	0.90	4.46
,
Pangaea Logistics Solutions Ltd. (PANL)	132.6K	2.14	0.09	4.39
,
PennyMac Mortgage Investment Trust (PMT)	868.6K	10.37	0.43	4.33
,
VEREIT Inc. (VER)	11.0M	4.92	0.20	4.23
,
Aravive Inc. (ARAV)	366.9K	12.60	0.51	4.22
,
Tabula Rasa HealthCare Inc. (TRHC)	262.6K	62.42	2.52	4.22
,
Sharps Compliance Corp. (SMED)	255.9K	7.68	0.31	4.21
,
LSI Industries Inc. (LYTS)	112.3K	5.50	0.22	4.17
,
Scorpio Tankers Inc. (STNG)	6.3M	24.35	0.97	4.15
,
Tsakos Energy Navigation Ltd. (TNP)	3.1M	3.30	0.13	4.10
,
Haynes International Inc. (HAYN)	80.2K	20.14	0.79	4.08
,
Textainer Group Holdings Ltd. (TGH)	105.2K	7.24	0.28	4.02
,
HC2 Holdings Inc. (HCHC)	174.3K	2.46	0.07	4.02
,
Sally Beauty Holdings Inc. (SBH)	1.5M	7.82	0.29	3.92
,
Nymox Pharmaceutical Corp. (NYMX)	157.0K	2.64	0.10	3.90
,
MYR Group Inc. (MYRG)	79.4K	25.61	0.96	3.89
,
Euroseas Ltd. (ESEA)	158.3K	2.69	0.10	3.86
,
Oxford Immunotec Global PLC (OXFD)	61.9K	11.30	0.42	3.86
,
SilverCrest Metals Inc. (SILV)	495.2K	5.94	0.22	3.85
,
Black Diamond Therapeutics Inc. (BDTX)	50.7K	33.50	1.24	3.84
,
Digimarc Corp. (DMRC)	63.8K	14.90	0.54	3.76
,
Benitec Biopharma Ltd. ADR (BNTC)	565.5K	13.55	0.49	3.75
,
Granite Construction Inc. (GVA)	552.5K	15.36	0.55	3.71
,
PennyMac Financial Services Inc. (PFSI)	305.4K	27.38	0.92	3.71
,
Quidel Corp. (QDEL)	237.7K	113.18	4.04	3.71
,
Quotient Ltd. (QTNT)	182.3K	6.75	0.24	3.69
,
SAP SE (SAP)
